block_no,lot_no,capacity,lat_long1,lat_long2,lat_long3,lat_long4
Map Family F-5,19,1,"14.111418819186255, 121.55071591260358","14.11141231601332, 121.55072328867875","14.111425972676265, 121.55074005248596","14.111433126166045, 121.55073200585852"
Map Family F-5,20,1,"14.11145848853712, 121.55071859481275","14.111452635682506, 121.55072597088791","14.111463040757265, 121.55074273469513","14.111470844563026, 121.55073468806766"
Map Family F-5,21,1,"14.111479949002732, 121.55070116045326","14.111473445831539, 121.55070786597614","14.111463691074416, 121.55074273469513","14.111515066123932, 121.55073737027683"
Map Family F-5,22,1,"14.111499458515187, 121.55071993591731","14.111494255978691, 121.55076553347293","14.111528722780719, 121.5507621807115","14.11153847753507, 121.55075882795006"
Map Family F-5,23,1,"14.111498808198123, 121.55075748684547","14.111490354076256, 121.55076486292066","14.111503360417469, 121.55078162672788","14.111513765489912, 121.5507782739664"
Map Family F-5,24,1,"14.111480599319844, 121.55077626230955","14.1114688936116, 121.55078565004158","14.111481899954057, 121.55080308440111","14.111489053442082, 121.55079302611675"
Map Family F-5,25,1,"14.111420770138091, 121.55075279297945","14.11141231601332, 121.55076553347293","14.111403211570906, 121.55079369666906","14.11141231601332, 121.55079034390762"
Map Family F-5,26,1,"14.11139735871488, 121.55077156844352","14.111390205223968, 121.55078028562328","14.111402561253575, 121.55079839053506","14.111413616647928, 121.55079168501219"
Map Family F-5,27,1,"14.111378499511092, 121.55079168501219","14.111370695702176, 121.55079906108736","14.11138500268499, 121.55081783655145","14.111390205223968, 121.5508091193717"
Map Family F-5,28,0,"14.111360940940648, 121.55081448379","14.111353137131136, 121.55082118931288","14.111358989988293, 121.55083527091094","14.111368744749909, 121.55082588317889"
Map Family F-5,29,1,"14.111393456810779, 121.55085203471816","14.111371996337011, 121.55083929422467","14.11138305173284, 121.55085739913646","14.111390205223968, 121.55085002306129"
Map Family F-5,30,1,"14.111395407762842, 121.55081314268541","14.111392156176068, 121.55082253041745","14.111403211570906, 121.5508372825678","14.111412966330626, 121.55082856538806"
Map Family F-5,31,1,"14.111416217917105, 121.55079101445989","14.111408414109475, 121.55080174329652","14.111421420455368, 121.55081649544688","14.111431825531566, 121.55080710771483"
Map Family F-5,32,0,"14.111440929972822, 121.55077559175727","14.111432475848817, 121.55078296783245","14.111440279655607, 121.55079906108736","14.111452635682506, 121.55079034390762"
Map Family F-5,33,1,"14.111457838219941, 121.55075614574089","14.111449384096547, 121.5507621807115","14.111461089805774, 121.55078497948931","14.111472795514416, 121.55077156844352"
Map Family F-5,34,1,"14.111479949002732, 121.55073804082909","14.111470844563026, 121.55074541690428","14.111484501222444, 121.55076486292066","14.111492305027468, 121.55075748684547"
Map Family F-5,35,1,"14.111498157881076, 121.55072060646962","14.111491654710404, 121.55072798254479","14.11150661200265, 121.5507434052474","14.111515716440945, 121.55073804082909"
Map Family F-5,36,1,"14.111516366757956, 121.55074474635201","14.11151246485589, 121.55074675800887","14.111526121512815, 121.55076486292066","14.111535876267281, 121.55075614574089"
Map Family F-5,37,1,"14.111494255978691, 121.55075882795006","14.111491654710404, 121.55076486292066","14.111502710100433, 121.55078229728014","14.111511164221856, 121.55077626230955"
Map Family F-5,38,1,"14.111477347734281, 121.55077760341413","14.11147019424589, 121.55078833225075","14.111481899954057, 121.5508024138488","14.111489703759169, 121.55079503777363"
Map Family F-5,39,1,"14.111457838219941, 121.55079369666906","14.111448083462145, 121.55080509605796","14.111456537585603, 121.55082320096975","14.111472145197288, 121.55080978992397"
Map Family F-5,40,1,"14.111435727435003, 121.55081247213313","14.111425972676265, 121.55082118931288","14.111440279655607, 121.55084130588155","14.111451985365319, 121.55083392980637"
Map Family F-5,41,0,"14.111418819186255, 121.5508319181495","14.111407763792158, 121.55084667029985","14.111413616647928, 121.55086276355478","14.111429874579805, 121.55084734085216"
Map Family F-5,42,1,"14.111394757445488, 121.55085337582273","14.1113876039545, 121.55085874024104","14.111401260618917, 121.55087952736199","14.111409714744095, 121.5508714807345"
Map Family F-5,43,1,"14.11141426696522, 121.5508714807345","14.11140516252288, 121.55088220957116","14.111416217917105, 121.55090031448293","14.111428573945302, 121.55088958564633"
Map Family F-5,44,1,"14.111434426800537, 121.55085136416585","14.111427273310795, 121.5508607518979","14.111440929972822, 121.55087885680967","14.111450684730938, 121.5508714807345"
Map Family F-5,45,1,"14.111455236951237, 121.55083392980637","14.111446132510538, 121.55084264698611","14.111461089805774, 121.55085941079334","14.11146824329446, 121.55085270527044"
Map Family F-5,46,1,"14.111478648368506, 121.55081783655145","14.111471494880151, 121.55082655373118","14.111483850905358, 121.55084197643384","14.111492955344554, 121.55083661201554"
Map Family F-5,47,1,"14.111496857246951, 121.55079839053506","14.11148710249082, 121.55080375495338","14.111501409466333, 121.55082320096975","14.111511164221856, 121.55081649544688"
Map Family F-5,48,1,"14.111517667391952, 121.55078296783245","14.111509213270772, 121.55078766169845","14.111524170561871, 121.55080509605796","14.111528722780719, 121.55080040219194"
Map Family F-5,49,0,"14.11153847753507, 121.55076553347293","14.111530023414652, 121.55077760341413","14.111537827218111, 121.55079302611675","14.111548232288989, 121.55078095617557"
,,,,,,
"Memory Area BLK, 6 ",1,1,"14.111312515577314, 121.55089998736729","14.111303411131132, 121.55090803399405","14.1113170678006, 121.55092479780127","14.11132682256401, 121.55091608062152"
"Memory Area BLK, 6",2,0,"14.111345681772073, 121.55091943338296","14.111326172246466, 121.55093753829473","14.111353485581843, 121.55096436038627","14.111370393835438, 121.55094759657909"
"Memory Area BLK, 6",3,1,"14.111287803507881, 121.55092479780127","14.111275447472051, 121.55093284442873","14.111291055096153, 121.55095094934052","14.111299509225427, 121.55094156160848"
"Memory Area BLK, 6",4,0,"14.11131641748303, 121.55094558492222","14.111300809860671, 121.55096167817715","14.11132682256401, 121.5509871591641","14.111345031454567, 121.55097508922292"
"Memory Area BLK, 6",5,0,"14.111266993341925, 121.55093820884485","14.11124553285625, 121.55095832541352","14.111262441117862, 121.55098380640047","14.111285202237278, 121.55096637204096"
"Memory Area BLK, 6",6,1,"14.111291705413839, 121.5509703953547","14.11127024493048, 121.55099051192335","14.111294957002038, 121.5510226984332","14.11131836843578, 121.55099654689396"
"Memory Area BLK, 6",7,0,"14.111229972501652, 121.55095725041309","14.111207861694604, 121.55097870808633","14.111232573772915, 121.55100821238702","14.11125598521306, 121.55099278968439"
"Memory Area BLK, 6",8,0,"14.111261838072723, 121.55099346023668","14.111241678222152, 121.55101022404389","14.111268341249945, 121.55104106944917","14.111289151415823, 121.55102430564195"
"Memory Area BLK, 6",9,0,"14.111200057879836, 121.55098206084776","14.111179898023794, 121.55100217741641","14.111204610105146, 121.55103637558312","14.111230622819466, 121.55101290625302"
"Memory Area BLK, 6",10,1,"14.111236475679778, 121.55101424735763","14.11121046296612, 121.55103972834458","14.111237776315377, 121.55106923264526","14.1112663902968, 121.55104643386746"
"Memory Area BLK, 6",11,0,"14.111174045162029, 121.55100284796872","14.111148682759314, 121.55102028232821","14.111187701839249, 121.55105917436094","14.111203959787257, 121.55104241055373"
"Memory Area BLK, 6",12,1,"14.111207861694604, 121.55104643386746","14.1111922540648, 121.55106520933155","14.111214364873366, 121.55108934921391","14.111232573772915, 121.55107258540673"
"Memory Area BLK, 6",13,1,"14.111152584666584, 121.5510330228193","14.111129173215831, 121.55105246883564","14.111158437528907, 121.55108599645008","14.111183799930528, 121.55106453877684"
"Memory Area BLK, 6",14,1,"14.111184450248492, 121.55106789153828","14.111162339437042, 121.55108867865923","14.111191603745857, 121.55111617130305","14.111214364872348, 121.55109404307753"
"Memory Area BLK, 6",15,0,"14.111123970670876, 121.55105917435853","14.111096006989417, 121.5510786203739","14.111125921624874, 121.55111147743604","14.111146731803753, 121.5510900197628"
"Memory Area BLK, 6",16,1,"14.111154535620342, 121.55109203141967","14.111136326714542, 121.5511134890929","14.111161038800628, 121.55114232284129","14.111183799930172, 121.55112019461579"
"Memory Area BLK, 6",17,0,"14.111097957944915, 121.55108331423827","14.111075847125067, 121.55110812467294","14.111103160490444, 121.55113293510763","14.111122019717017, 121.55111483019583"
"Memory Area BLK, 6",18,1,"14.11112268800354, 121.55112539895424","14.111116184822158, 121.55113411613398","14.111127890548508, 121.55115155049347","14.111135044047654, 121.55114283331373"
"Memory Area BLK, 6",19,0,"14.111075214775187, 121.55110662349016","14.111059607136315, 121.55111936398363","14.11109277336765, 121.5511455155229","14.11110187782247, 121.55113277502942"
"Memory Area BLK, 6",20,1,"14.111107080367912, 121.55114082165686","14.111099926867888, 121.55114886828434","14.111116835140301, 121.55116429098696","14.111123338321658, 121.5511569149118"
"Memory Area BLK, 6",21,1,"14.111064809680746, 121.55112942226634","14.111055705224452, 121.55113880999839","14.111070662545321, 121.55115490325332","14.11107976700102, 121.55114685662586"
"Memory Area BLK, 6",22,1,"14.111093423683887, 121.55115423270105","14.111088221138129, 121.55116160877621","14.111101877820488, 121.55117837258344","14.111107080365926, 121.55117032595595"
"Memory Area BLK, 6",23,0,"14.111040747902448, 121.55113411613232","14.111025790579633, 121.55115423270095","14.111048551722675, 121.55118172534479","14.11106806127205, 121.55116429098527"
"Memory Area BLK, 6",24,1,"14.111077816046107, 121.55116898485132","14.111057005860943, 121.55118776031537","14.11108106763737, 121.55121592351149","14.111102528138527, 121.55119580694284"
"Memory Area BLK, 6",25,1,"14.111021888669171, 121.55116429098527","14.110999777841943, 121.55118306644937","14.111021888669171, 121.55121257075005","14.111043999494258, 121.55118977197223"
"Memory Area BLK, 6",26,1,"14.111047901404342, 121.55119647749511","14.111028391853235, 121.55121592351149","14.11105440458767, 121.55124341615533","14.111075865091335, 121.55122262903437"
"Memory Area BLK, 6",27,0,"14.110997176568008, 121.55119111307681","14.110971163827049, 121.55121055909319","14.110995225612534, 121.55124073394616","14.111021238350748, 121.55121659406377"
"Memory Area BLK, 6",28,1,"14.111021888669171, 121.5512219584821","14.111001728797364, 121.5512440867076","14.111028391853235, 121.55126956769459","14.111047901404342, 121.55125012167821"
,,,,,,
"Memory Area BLK, 7",1,1,"14.111240395555386, 121.55080688662287","14.111216333795792, 121.55082968540064","14.111244947779896, 121.5508612013582","14.11126965985419, 121.55083974368499"
"Memory Area BLK, 7",2,1,"14.111271610807323, 121.5508451081033","14.111253401910886, 121.55086187191051","14.111275512713497, 121.55088869400204","14.111297623513982, 121.55086924798569"
"Memory Area BLK, 7",3,0,"14.11121178157071, 121.55083504981894","14.111189020443963, 121.55085382528304","14.11121958538507, 121.5508846706883","14.111237143966413, 121.55086522467194"
"Memory Area BLK, 7",4,0,"14.111241045873188, 121.55086991853797","14.11122088602077, 121.55089942283865","14.111248199368783, 121.55092222161647","14.11126965985419, 121.55089674062953"
"Memory Area BLK, 7",5,0,"14.111185768854252, 121.55085114307387","14.111163658042916, 121.55087260074713","14.11119357266949, 121.55090478725697","14.111214382842189, 121.5508853412406"
"Memory Area BLK, 7",6,0,"14.111214382842189, 121.55089271731578","14.111194222987418, 121.55090948112299","14.1112260885635, 121.55094233818514","14.111245598097673, 121.5509195394073"
"Memory Area BLK, 7",7,1,"14.111163658042916, 121.55088064737457","14.111140896911348, 121.55090210504781","14.11116625931494, 121.55092892713935","14.111187719808083, 121.55091283388442"
"Memory Area BLK, 7",8,1,"14.11119357266949, 121.55091685719817","14.111170161222947, 121.55093965597597","14.111196824259101, 121.55096916027667","14.111222186656459, 121.5509497142603"
"Memory Area BLK, 7",9,1,"14.11113374341241, 121.55090814001841","14.111117485459387, 121.55092691548248","14.111142847865587, 121.5509557492309","14.11116105677085, 121.55093697376681"
"Memory Area BLK, 7",10,0,"14.111162357406883, 121.55094434984201","14.111148050410097, 121.5509611136492","14.111173412812889, 121.55099061794989","14.11119162171571, 121.55097452469496"
"Memory Area BLK, 7",11,1,"14.111107080367681, 121.55092959769212","14.111090172094544, 121.55095172591763","14.111114233867475, 121.55098391242747","14.111134393729317, 121.55096312530654"
"Memory Area BLK, 7",12,1,"14.111140896910177, 121.55096513696338","14.1111187860945, 121.55098994739807","14.111143498182471, 121.55101945169878","14.111168210267769, 121.55099464126407"
"Memory Area BLK, 7",13,1,"14.111079116684506, 121.5509577608882","14.111058956817777, 121.55098123021834","14.111084969548724, 121.55101073451902","14.111107080367681, 121.55098994739807"
"Memory Area BLK, 7",14,0,"14.111112282913005, 121.55099531181638","14.111093423685631, 121.55101408728046","14.11112138736705, 121.55104090937199","14.11113829563786, 121.55102280446022"
"Memory Area BLK, 7",15,1,"14.111057005861806, 121.55099330015962","14.111042698858407, 121.55101006396684","14.11105765618013, 121.55102883943091","14.111070662546048, 121.55101006396684"
"Memory Area BLK, 7",16,1,"14.111088221138843, 121.5510228044603","14.111070012227778, 121.55103889771523","14.111091472729967, 121.55106639035905","14.111112933230144, 121.55104694434269"
"Memory Area BLK, 7",17,1,"14.11102644089747, 121.55101006396515","14.111006931344535, 121.55102682777238","14.111037496310052, 121.5510596848345","14.111056355542074, 121.55103822716127"
"Memory Area BLK, 7",18,0,"14.111061558088544, 121.55104560323645","14.111044649812035, 121.55106169649137","14.111071312862881, 121.5510945535535","14.111090172092087, 121.55107108422342"
"Memory Area BLK, 7",19,1,"14.111000428159844, 121.55103353329527","14.11098547083438, 121.55105230875932","14.111009532618354, 121.5510844952692","14.111027741534265, 121.55106035538681"
"Memory Area BLK, 7",20,1,"14.111032944081408, 121.55106437870054","14.11102253898702, 121.55107913085088","14.111051803313785, 121.5511133290176","14.111065459998333, 121.55110058852411"
"Memory Area BLK, 7",21,1,"14.110979617967619, 121.55105901428223","14.110958807773484, 121.55108047195544","14.110982869560281, 121.55111131736072","14.111004980389149, 121.55109053023976"
"Memory Area BLK, 7",22,1,"14.111015385484341, 121.55108851858293","14.111010833255252, 121.5510945535535","14.11102579057906, 121.55111131736072","14.111032293763024, 121.55110528239011"
"Memory Area BLK, 7",23,1,"14.110954905861863, 121.5510844952692","14.110957507136282, 121.55108047195544","14.110983519878806, 121.55110796459928","14.111004330070688, 121.5510898596875"
"Memory Area BLK, 7",24,0,"14.111004330070688, 121.55110058852411","14.11099262433799, 121.55111399956988","14.111019937713342, 121.55113948055686","14.111027741534265, 121.55112808116793"
"Memory Area BLK, 7",25,1,"14.110952304587421, 121.55108583637376","14.110933445346813, 121.55110595294242","14.110957507136282, 121.55113478669081","14.110975716056355, 121.55111668177904"
"Memory Area BLK, 7",26,1,"14.110978317330543, 121.55113210448167","14.110967912233649, 121.55114149221372","14.110983519878806, 121.5511542327072","14.11099132370098, 121.55114886828888"
"Memory Area BLK, 7",27,1,"14.11092238992918, 121.5511126584653","14.110898328135995, 121.55113813945225","14.110926291841347, 121.55116764375296","14.110949052994325, 121.55114417442286"
"Memory Area BLK, 7",28,1,"14.110952954906034, 121.5511475271843","14.110928893116084, 121.55117099651439","14.110959458092074, 121.55119446584452","14.110980918604682, 121.55117166706668"
,,,,,,
"Memory Area BLK, 8",1,0,"14.111141405456877, 121.55069412105203","14.111124497186283, 121.55072161369587","14.111140104820718, 121.55073904805538","14.111155062136042, 121.55072697811416"
"Memory Area BLK, 8",2,0,"14.1111609149983, 121.55073033087561","14.111144657047225, 121.55074575357825","14.111166767860393, 121.55076855235605","14.111180424538045, 121.5507551413103"
"Memory Area BLK, 8",3,1,"14.111116693368654, 121.55072764866647","14.111112791459757, 121.55073569529392","14.111125797822531, 121.55074977689199","14.111130350049319, 121.55074307136908"
"Memory Area BLK, 8",4,0,"14.111140104820718, 121.550754470758","14.111133601639832, 121.55076184683317","14.11115831372621, 121.5507886689247","14.111164816906383, 121.5507779400881"
"Memory Area BLK, 8",5,1,"14.111099134778048, 121.55073234253248","14.111075073003526, 121.55075581186256","14.111103687005382, 121.55078196340182","14.111121245595646, 121.55076184683317"
"Memory Area BLK, 8",6,1,"14.111127098458756, 121.5507665406992","14.111106288278096, 121.55078598671555","14.111129049413098, 121.55081884377769","14.111151160227793, 121.55079738610448"
"Memory Area BLK, 8",7,1,"14.111075073003095, 121.55075916462486","14.111047109316, 121.5507812928504","14.111072471730026, 121.55080945604652","14.111093932231999, 121.55078598671642"
"Memory Area BLK, 8",8,1,"14.111101736050392, 121.55079872720991","14.111095232868411, 121.55080610328508","14.111109539868519, 121.5508215259877","14.111114742413791, 121.5508168321217"
"Memory Area BLK, 8",9,1,"14.111039955814096, 121.55080140941905","14.111034102948745, 121.5508114677034","14.111045808679307, 121.55082420819686","14.111053612499353, 121.55081884377857"
"Memory Area BLK, 8",10,1,"14.111075723321353, 121.55081482046484","14.111058815045913, 121.5508335959289","14.111078324594395, 121.55086444133418","14.111103687004936, 121.55084432476552"
"Memory Area BLK, 8",11,1,"14.111021096580751, 121.55080543273279","14.11099703479799, 121.55082689040601","14.111023047535998, 121.55085706525901","14.11104060613247, 121.55083694869035"
"Memory Area BLK, 8",12,1,"14.111046458997654, 121.55083896034722","14.111029550720025, 121.55085974746817","14.111052962181033, 121.55089394563488","14.111075073003095, 121.55087315851391"
"Memory Area BLK, 8",13,1,"14.110994433521675, 121.55083359592733","14.110971672373227, 121.55085103028685","14.110995083840175, 121.55088455790126","14.111016544349424, 121.55086108857117"
"Memory Area BLK, 8",14,1,"14.111019795941566, 121.55086712354176","14.111003537980427, 121.55088589900585","14.111026949444094, 121.5509120505451","14.111045158358632, 121.55089595729017"
"Memory Area BLK, 8",15,1,"14.110941107398498, 121.55089595728938","14.110930702299909, 121.55090333336456","14.110946960266238, 121.55092076772405","14.110958015682689, 121.55091406220117"
"Memory Area BLK, 8",16,1,"14.110995083840125, 121.55089394562978","14.110970371736062, 121.55091473275071","14.110996384477112, 121.55093954318541","14.111016544349374, 121.55092412048276"
"Memory Area BLK, 8",17,1,"14.110939806761534, 121.55089528673436","14.110917695926343, 121.55091808551215","14.110933953893602, 121.55094289594685","14.110957365364417, 121.55091540330302"
"Memory Area BLK, 8",18,1,"14.110963868550328, 121.55091808551215","14.11093915644287, 121.55094557815598","14.110959966638799, 121.55097642356127","14.110987930336591, 121.55094893091744"
"Memory Area BLK, 8",19,0,"14.110907290826686, 121.55092009716903","14.110892983813885, 121.55094088428997","14.110908591464158, 121.55096569472464","14.110929401662885, 121.55094557815598"
"Memory Area BLK, 8",20,1,"14.110933303574924, 121.55094960146971","14.110917045607628, 121.55096837693381","14.110941107398826, 121.55100123399593","14.11095866600161, 121.55097910577041"
"Memory Area BLK, 8",21,0,"14.11088192839428, 121.55094021373769","14.110866971061029, 121.55096100085863","14.11088192839428, 121.55099117571163","14.110902088276681, 121.55096971803837"
"Memory Area BLK, 8",22,1,"14.110907941145427, 121.55097307079981","14.110888431582339, 121.5509918462639","14.110909892101638, 121.55102604443063","14.110935904849596, 121.55100592786195"
"Memory Area BLK, 8",23,0,"14.110848762132255, 121.55096368306779","14.110829252564116, 121.55098916405476","14.110855915640164, 121.5510146450417","14.110871523292996, 121.55099586957763"
"Memory Area BLK, 8",24,1,"14.110878026481346, 121.55100458675737","14.11086827169874, 121.55102336222146","14.110887130944755, 121.551050184313","14.110907941145427, 121.55103140884893"
"Memory Area BLK, 8",25,0,"14.110822749374362, 121.5509985517868","14.110808442356253, 121.55101531559399","14.11082405001234, 121.55104414934242","14.110846160856603, 121.55101933890774"
"Memory Area BLK, 8",26,1,"14.110852664045694, 121.55102604443063","14.110833154477886, 121.55104481989468","14.110861118191227, 121.55107834750912","14.110880627756643, 121.55105756038817"
"Memory Area BLK, 8",27,0,"14.110794135337255, 121.55102738553519","14.11077787736001, 121.55104012602868","14.110799337889716, 121.55107164198624","14.110816896503426, 121.55104817265612"
"Memory Area BLK, 8",28,1,"14.110825350648257, 121.55104951376214","14.1108071417182, 121.55107968861368","14.110829902883085, 121.55110584015296","14.110853964683482, 121.55108237082285"
,,,,,,
"Memory Area BLK, 9",1,1,"14.111057297023917, 121.55063875817457","14.111047542248983, 121.55064613424975","14.111065751161853, 121.5506662508184","14.111074205299484, 121.5506555219818"
"Memory Area BLK, 9",2,1,"14.111089812937367, 121.55065485142948","14.111067051798445, 121.55068100296874","14.11109566580129, 121.55070916616485","14.111115825664776, 121.55068435573018"
"Memory Area BLK, 9",3,1,"14.11103908811037, 121.55065820419092","14.11103063397143, 121.55066826247527","14.111050143522332, 121.55068502628245","14.111054045432311, 121.55067899131188"
"Memory Area BLK, 9",4,0,"14.111061849252078, 121.55068502628245","14.111054045432311, 121.5506944140145","14.11108005816383, 121.55072190665834","14.111087861982682, 121.55071184837401"
"Memory Area BLK, 9",5,1,"14.11103063397143, 121.55066960357983","14.111023480469004, 121.55067429744585","14.111037137155256, 121.5506944140145","14.111044290657247, 121.55068770849162"
"Memory Area BLK, 9",6,0,"14.111052094477333, 121.5506950845668","14.11103973842873, 121.55070313119428","14.111070953708118, 121.5507346471518","14.111076806572541, 121.55072525941978"
"Memory Area BLK, 9",7,0,"14.11100917346218, 121.5506756385487","14.110989013589268, 121.55070179008794","14.111009823780641, 121.55072928273177","14.111031284288504, 121.55070246064021"
"Memory Area BLK, 9",8,1,"14.111041039064126, 121.55070782505852","14.111016326965052, 121.55073062383634","14.111042339700859, 121.55075878703245","14.111064450523962, 121.55073598825464"
"Memory Area BLK, 9",9,0,"14.110983811041121, 121.55069977843108","14.110964301484533, 121.55072123610431","14.11098511167817, 121.55074805819582","14.111007222506823, 121.55072794162719"
"Memory Area BLK, 9",10,1,"14.111011774735974, 121.5507326354932","14.110989663907768, 121.55075342261414","14.111015026328179, 121.55078426801943","14.111037137153932, 121.55076146924162"
"Memory Area BLK, 9",11,0,"14.11095324606677, 121.55072123610333","14.110936988100875, 121.5507467170903","14.110963651164328, 121.55077488028643","14.110978608491227, 121.5507534226132"
"Memory Area BLK, 9",12,1,"14.110983811039493, 121.55076213979294","14.110975356898502, 121.55077286862955","14.110992915498661, 121.55079231464592","14.111000719320515, 121.55078359746618"
"Memory Area BLK, 9",13,1,"14.110929184276845, 121.55074939929946","14.110916177902858, 121.55077085697269","14.110935687463556, 121.55079902016881","14.110959098934195, 121.55077957415243"
"Memory Area BLK, 9",14,0,"14.110957798297004, 121.5507829269139","14.110941540331439, 121.55080170237795","14.110966252438631, 121.55083187723095","14.110988363269115, 121.5508117606623"
"Memory Area BLK, 9",15,1,"14.11090447216563, 121.55077286862955","14.11088626323986, 121.55079566740737","14.110907723759365, 121.55082517170806","14.110931135232876, 121.55080237293025"
"Memory Area BLK, 9",16,1,"14.110935687463556, 121.55080706679625","14.110916177902858, 121.55082919502179","14.110940239694148, 121.55085668766561","14.110961049889974, 121.55083791220153"
"Memory Area BLK, 9",17,1,"14.110881711006764, 121.55079969072052","14.110857649209292, 121.5508238306029","14.110881711006764, 121.55084931158984","14.11090187088918, 121.55082651281207"
"Memory Area BLK, 9",18,1,"14.110908374076681, 121.55083187723035","14.110892116107589, 121.55085199379901","14.110914877263989, 121.55088216865201","14.110934386824802, 121.55085802876962"
"Memory Area BLK, 9",19,1,"14.110850495701447, 121.55082651281207","14.110829035176563, 121.55084327661928","14.110854397614847, 121.55087747478599","14.110875858137355, 121.55085735821733"
"Memory Area BLK, 9",20,1,"14.110884962600826, 121.55085601711276","14.110860250484818, 121.55088149809971","14.110888864513642, 121.55090697908668","14.110910325032892, 121.55088686251801"
"Memory Area BLK, 9",21,0,"14.110823832624762, 121.55084797048528","14.11080367273545, 121.55086875760624","14.11082708421965, 121.5508989324592","14.110850495701447, 121.55087948644284"
"Memory Area BLK, 9",22,1,"14.110853096977047, 121.55088418030886","14.11083748932297, 121.55090496742982","14.110864152398053, 121.55093313062594","14.110883011644399, 121.55091569626643"
"Memory Area BLK, 9",23,0,"14.11080042114023, 121.55087211036768","14.110781561887054, 121.55089356804089","14.110804973373531, 121.55092575455076","14.110822531986795, 121.55090228522067"
"Memory Area BLK, 9",24,1,"14.11082773453862, 121.55090899074355","14.110808875287708, 121.55092843675989","14.11083488804718, 121.55095592940373","14.110856348571518, 121.55093715393966"
"Memory Area BLK, 9",25,1,"14.110775058695939, 121.55090496742982","14.110751647206396, 121.55091904902787","14.110777009653296, 121.55094989443316","14.110799770821183, 121.55092709565533"
"Memory Area BLK, 9",26,1,"14.1108062740116, 121.5509344717305","14.110784163163444, 121.55095525885145","14.11081082624476, 121.55098342204755","14.110830335814475, 121.55096397603121"
"Memory Area BLK, 9",27,1,"14.110748395610438, 121.55092575455076","14.110728235714449, 121.55094453001482","14.110749696248812, 121.55097671652469","14.110772457419447, 121.55095525885145"
"Memory Area BLK, 9",28,1,"14.110777659972406, 121.55095928216517","14.11075424848313, 121.5509814103907","14.110782212206152, 121.55101359690055","14.11080692433062, 121.55098945701816"
,,,,,,
"Memory Area BLK, 10",1,0,"14.111033885561891, 121.5505737146041","14.111010071810396, 121.55059826865696","14.111032182636631, 121.5506237496439","14.11104909091407, 121.5506016214184"
"Memory Area BLK, 10",2,0,"14.110979769807654, 121.55062681447085","14.110958959613534, 121.55065095435323","14.110979769807654, 121.55067844699707",
"Memory Area BLK, 10",3,0,"14.110949855152404, 121.55064760159101","14.110931646230869, 121.55067509423563","14.110958959613534, 121.55070124577489","14.110973916940752, 121.55068045865394"
"Memory Area BLK, 10",4,1,"14.110923842405224, 121.55067576478613","14.110902381887234, 121.5507019163254","14.110925793361295, 121.55072873841695","14.110949855151578, 121.55070661019141"
"Memory Area BLK, 10",5,0,"14.110896529018346, 121.55070459853455","14.110877669773107, 121.55072873841695","14.110901081249713, 121.55075220774702","14.110921891449125, 121.55073410283524"
"Memory Area BLK, 10",6,1,"14.110868565309344, 121.55072538565547","14.110853607975216, 121.550747513881","14.110877669773107, 121.55077165376339","14.110896529018346, 121.5507542194039"
"Memory Area BLK, 10",7,1,"14.110843202872621, 121.55075220774702","14.110824343622994, 121.55077433597256","14.110845153829406, 121.55079646419807","14.110866614352764, 121.55077970039085"
"Memory Area BLK, 10",8,1,"14.110843853191554, 121.55075086664246","14.110822392666044, 121.55077500652483","14.110848405423976, 121.55079713475034","14.110845804148324, 121.55080048751178"
"Memory Area BLK, 10",9,1,"14.110816276826379, 121.55078132942324","14.110793128309815, 121.55080115806409","14.11081914107108, 121.55082798015562","14.110840601596907, 121.55080652248239"
"Memory Area BLK, 10",10,0,"14.11079351566013, 121.55080748096248","14.110774006087246, 121.55082625642655","14.110798718212617, 121.55085777238412","14.110813675550345, 121.55083430305403"
"Memory Area BLK, 10",11,1,"14.11076880353421, 121.55083296194942","14.110732385659539, 121.55086716011616","14.11075839842775, 121.55089733496914","14.110796116936392, 121.55086045459325"
"Memory Area BLK, 10",12,1,"14.110740189489878, 121.55080077544348","14.110700520013994, 121.55083162084875","14.11072588246658, 121.55086045459714","14.110762300342284, 121.55082290366902"
"Memory Area BLK, 10",13,1,"14.110760999705805, 121.5507712711436","14.110737588214812, 121.55079138771225","14.110764251301587, 121.55082089201295","14.110785061513491, 121.55080211654888"
"Memory Area BLK, 10",14,0,"14.110789613747086, 121.55074579015664","14.110769453854745, 121.5507645656207","14.11079546661872, 121.55079138771225","14.110811724594692, 121.55076993003901"
"Memory Area BLK, 10",15,0,"14.110811724595495, 121.55072097972334","14.110795466619521, 121.55074377850111","14.110817577466571, 121.55077261224955","14.110838387673594, 121.55074646071029"
"Memory Area BLK, 10",16,0,"14.110840988949333, 121.5506981809455","14.110825381294429, 121.55072366193247","14.110850093414218, 121.55074243739655","14.110868302342876, 121.55072500303706"
"Memory Area BLK, 10",17,0,"14.11087025330074, 121.55067739382696","14.110856596604505, 121.55069751039562","14.110872854576126, 121.55072634414405","14.110893014459316, 121.55070287481394"
"Memory Area BLK, 10",18,0,"14.11089366477811, 121.55064923063087","14.110881308720908, 121.55066800609494","14.110899517647074, 121.5506934870819","14.11091967752791, 121.55067538217011"
"Memory Area BLK, 10",19,1,"14.110919027209208, 121.55062509074847","14.110899517647074, 121.55063917234652","14.11092162848402, 121.5506706883041","14.110941788362913, 121.55064788952627"
