block_no,lot_no,capacity,lat_long1,lat_long2,lat_long3,lat_long4
memory f-2,11,1,"14.111299160768601, 121.55044836225186","14.111279000921325, 121.5504684788205","14.11129525886282, 121.55049194815061","14.111319320614097, 121.5504691493728"
memory f-2,12,1,"14.1113225722019, 121.55047116102968","14.111300461403845, 121.55049999477808","14.111319320614097, 121.55051944079445","14.111342732045323, 121.55050066533039"
memory f-2,13,0,"14.111271847426696, 121.55047585489568","14.111247785670422, 121.55049932422578","14.111262742978683, 121.55052011134673","14.111291356956963, 121.55049731256891"
memory f-2,14,1,"14.11129525886282, 121.55050267698722","14.111270546791287, 121.5505274874219","14.111283553145057, 121.55054425122913","14.11130761489757, 121.5505221230036"
memory f-2,15,1,"14.111239331539227, 121.55050535919639","14.111212668508026, 121.55053419294478","14.111228926454253, 121.55054894509513","14.111248435988182, 121.55052949907878"
memory f-2,16,1,"14.111257540436782, 121.55054022791539","14.111260792025488, 121.5505623561409","14.111260141707751, 121.55056302669318","14.11126924615588, 121.5505569917226"
memory f-2,17,1,"14.111199662148339, 121.55054492177769","14.111178851974293, 121.55056570889862","14.111194459605011, 121.55058582546725","14.111217871049073, 121.55056168558487"
memory f-2,18,0,"14.111222423274016, 121.55056637945091","14.111202263419958, 121.55058917822869","14.111216570413347, 121.55060996534966","14.111238681219545, 121.55058582546725"
memory f-2,19,0,"14.111171698476538, 121.55057040276463","14.11114308448322, 121.55059722485618","14.11116129338847, 121.55061801197712","14.111191208015365, 121.55059118988557"
memory f-2,20,1,"14.111192508651218, 121.55059655430388","14.11116649593256, 121.55062270584313","14.111178851974293, 121.55063946965035","14.111208766598885, 121.55061465921567"
,,,,,,
memory f-3,1,1,"14.111523520241603, 121.55035381437806","14.111489703755861, 121.55038398923101","14.111513115169606, 121.55040745856112","14.111541729116448, 121.55037795426044"
memory f-3,2,1,"14.111549532919524, 121.55038130702188","14.111529373094386, 121.55040075303823","14.111554735454733, 121.55042623402518","14.11157164369342, 121.55041014077027"
memory f-3,3,0,"14.111487102487525, 121.5503906947539","14.111472145193982, 121.55040544690426","14.111492305024173, 121.55042422236832","14.111508562950451, 121.55041282297944"
memory f-3,4,0,"14.111513115169606, 121.55041818739774","14.111494255975396, 121.55043495120495","14.111514415803628, 121.55045640887818","14.111530023411357, 121.55044769169844"
memory f-3,5,1,"14.11146369107112, 121.55041014077027","14.111439629335086, 121.5504369628618","14.11145588726512, 121.55045976163962","14.11148450121915, 121.55043428065267"
memory f-3,6,0,"14.111491004390023, 121.5504369628618","14.111460439485317, 121.55046713771479","14.111476697413874, 121.55048658373116","14.111502059780074, 121.55045842053505"
memory f-3,7,1,"14.11142922425926, 121.55044165672784","14.11140126061561, 121.55047116102854","14.11141816886567, 121.55049261870177","14.111449384093241, 121.55046579661023"
memory f-3,8,1,"14.111445482190028, 121.55048121931284","14.111437028066177, 121.55049060704489","14.111453285996387, 121.55051340582271","14.111465642022587, 121.55050602974754"
memory f-3,9,0,"14.111392806490118, 121.55047518434228","14.1113687447466, 121.5505020064338","14.11138825426857, 121.5505248052116","14.111410365058102, 121.55049932422465"
memory f-3,10,0,"14.111414266961924, 121.55050401809066","14.111392806490118, 121.55052815797305","14.11141881918296, 121.55055296840771","14.111437678383405, 121.55053687515282"
memory f-3,11,0,"14.11135638871516, 121.55049865367236","14.111338830143012, 121.55053016962992","14.111357039032617, 121.55055498006459","14.111383051729545, 121.55052882852533"
memory f-3,12,1,"14.11138760395119, 121.55053352239136","14.111361591254798, 121.55055766227375","14.111386303316444, 121.55058783712674","14.111414917279214, 121.5505657089012"
memory f-3,13,0,"14.111322572204635, 121.55053687515282","14.111304363312273, 121.5505603444829","14.111323872839739, 121.55058783712674","14.111349885540443, 121.5505603444829"
memory f-3,14,1,"14.111354437762767, 121.55056839111037","14.111328425062581, 121.55059253099274","14.111351186175408, 121.55062136474115","14.111380450459972, 121.55059454264959"
memory f-3,15,0,"14.11129395822778, 121.5505670500029","14.11126599456753, 121.55059454264672","14.11128875568659, 121.55062136473826","14.111315418708877, 121.55059454264672"
memory f-3,16,1,"14.111320621249453, 121.5505958837513","14.111294608545402, 121.55062538805198","14.11131411807372, 121.55064818682979","14.111342732045552, 121.5506260586043"
memory f-3,17,0,"14.111259491390244, 121.55059990706503","14.111232828361397, 121.55062337639514","14.111254939166027, 121.55064818682979","14.111279000921554, 121.55062404694742"
memory f-3,18,1,"14.111284853780631, 121.55062807026114","14.111259491390244, 121.55065221014353","14.11128160219227, 121.55067970278736","14.111309565850597, 121.5506542218004"
memory f-3,19,1,"14.111226975501006, 121.55062941136573","14.11119771119672, 121.55065891566643","14.111217871051185, 121.5506843966534","14.111247135352876, 121.55065690400957"
memory f-3,20,1,"14.111252988212767, 121.55066159787557","14.11122177295829, 121.55069110217626","14.11124518439954, 121.5507132304018","14.111275749333128, 121.5506890905194"
,,,,,,
Map Family F-3,1,0,"14.111602858906132, 121.55046981992179","14.11159635573844, 121.55047585489235","14.111610012390363, 121.55049261869958","14.111615865240932, 121.5504845720721"
Map Family F-3,2,1,"14.111626270308236, 121.55044903280081","14.111615865240932, 121.55045774998057","14.111630172208354, 121.55047250213092","14.111635374741747, 121.55046847881718"
Map Family F-3,3,1,"14.11164708044143, 121.5504315984413","14.111632123158383, 121.55044366838251","14.111644479174888, 121.55046043218974","14.111658135823912, 121.55044635059166"
Map Family F-3,4,0,"14.111661387406892, 121.55041483463413","14.111652933291042, 121.55042556347074","14.111663988673246, 121.55044366838251","14.11167699500456, 121.5504315984413"
Map Family F-3,5,1,"14.111681547220341, 121.5503974002746","14.111671792472123, 121.55040745855894","14.111685449119518, 121.55042556347074","14.111696504500133, 121.55041148187264"
Map Family F-3,6,1,"14.111704308297902, 121.55037661315365","14.1116984554496, 121.55038264812426","14.111711461778944, 121.55040276469292","14.111719265576205, 121.55039404751315"
Map Family F-3,7,1,"14.11172511842396, 121.55039941193148","14.111713412728284, 121.55040947021581","14.111722517158308, 121.55042422236613","14.11173357253714, 121.55041751684325"
Map Family F-3,8,1,"14.11170560893083, 121.55041215242495","14.111687400069064, 121.55042824567987","14.111691952284655, 121.55044635059166","14.11170560893083, 121.55043361009818"
Map Family F-3,9,0,"14.111680896903815, 121.55043495120276","14.111666589939572, 121.5504443389348","14.111675694371467, 121.5504624438466","14.111682197536883, 121.55044836224853"
Map Family F-3,10,0,"14.111663338356667, 121.55044836224853","14.111645779808159, 121.5504664671603","14.111661387406892, 121.55047719599696","14.111670491838991, 121.55046311439887"
Map Family F-3,11,0,"14.111641227591653, 121.55047116102635","14.11163342379173, 121.55047786654923","14.11164252822496, 121.55048993649042","14.111650982341194, 121.55048121931065"
Map Family F-3,12,1,"14.111618466507805, 121.55048792483356","14.111608711756878, 121.55049530090874","14.111619116824512, 121.55051206471592","14.111630822525035, 121.55050468864079"
Map Family F-3,13,1,"14.11163407410841, 121.55050871195448","14.111626920624929, 121.55051675858196","14.111643178541602, 121.55053553404605","14.111650332024563, 121.55052748741858"
Map Family F-3,14,0,"14.111643828858245, 121.55049463035645","14.111639926958366, 121.55050535919305","14.111654884240894, 121.55052413465714","14.111665289306416, 121.55050804140222"
Map Family F-3,15,0,"14.111675694371467, 121.55047183157862","14.111658135823912, 121.55048725428125","14.111673093105242, 121.55050401808847","14.111686099436035, 121.55048792483356"
